,sampno,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,p2o5,rock_type
79,2158877,68.28,0.2,14,3.31,0.48,0.3,0.216888,3.43,0.126,granite
81,2158878,74.74,0.11,13.7,1.53,0.38,0.32,0.09037,2.95,0.133,granite
82,2158879,74.2,0.15,14,1.57,0.46,0.4,0.065841,3.47,0.12,granite
83,2158880,73.74,0.22,14.4,1.41,0.43,0.43,0.05164,3.37,0.126,granite
84,2158881,74.67,0.06,13.4,1.17,0.3,0.35,0.058095,3.96,0.152,granite
85,2158882,74.03,0.21,14.1,1.39,0.38,0.37,0.045185,3.53,0.126,granite
86,2158883,73.8,0.18,14.3,1.34,0.34,0.38,0.033566,3.94,0.121,granite
87,2158884,73.84,0.18,14.1,1.67,0.4,0.28,0.074878,2.55,0.073,granite
88,2158885,66.96,0.41,15.1,4.02,2.65,0.57,0.233671,1.45,0.296,granite
89,2158886,74.56,0.03,13.9,0.99,0.25,0.58,0.071005,4.07,0.308,granite
91,2138049,75.12,0.03,13.4,1.29,0.32,0.53,0.072296,2.52,0.324,granite
92,2158887,76.9,0.02,13.3,0.86,0.15,0.51,0.02582,0.106,0.276,granite
94,2158888,72.82,0.11,13.6,2.39,0.93,0.76,0.1291,0.35,0.374,diorite
95,2158889,58,0.83,17.1,6.81,5.61,3.95,0.191068,1.76,0.308,diorite
96,2158890,58.03,0.88,16.3,6.77,6.84,3.57,0.162666,1.72,0.288,diorite
97,2158891,56.16,0.93,16.5,7.17,5.58,5.74,0.205269,2.36,0.287,diorite
98,2158892,55.44,0.92,16.3,7.69,6.94,4.68,0.267237,1.9,0.263,diorite
99,2158893,69.53,0.24,15.2,2.59,1.31,1.06,0.109735,3.89,0.255,granite
100,2158894,69.58,0.26,15.5,2.46,1.36,0.59,0.130391,3.29,0.253,granite
101,2158895,61.7,0.63,16.4,5.58,3.31,2.1,0.218179,3.42,0.359,granite
102,2158896,54.39,1.09,17.6,7.96,4.78,5.84,0.152338,2.77,0.4,granite
103,2158897,52.95,1.14,17.3,8.66,4.86,5.98,0.262073,3.13,0.382,granite
104,2158898,54.18,1.06,17.4,7.95,4.67,6.04,0.231089,2.85,0.375,granite
105,2158899,55.44,0.95,16.7,7.47,5.08,6.01,0.202687,2.69,0.324,granite
106,2158900,55.24,0.96,16.7,7.45,5.27,5.74,0.203978,3.12,0.328,granite
107,2158901,55.3,0.96,16.6,7.61,5.44,5.6,0.228507,2.66,0.309,granite
108,2158902,54.77,0.9,17,7.82,6.55,4.71,0.197523,1.82,0.315,granite
109,2158903,56.51,0.96,17.2,7.31,5.38,4.35,0.156211,1.96,0.338,granite
110,2158904,58.43,0.8,16.4,6.92,5.72,2.22,0.227216,1.79,0.348,granite
111,2158905,55.12,1.03,16.2,8.46,7.33,3.38,0.240126,1.91,0.297,granite
113,2138051,56.18,0.91,16.1,7.71,5.89,5.82,0.171703,2.49,0.295,granite
114,2158906,54.86,0.97,16.2,7.75,5.9,5.91,0.281438,2.76,0.325,granite
115,2158907,64.15,0.59,15.9,4.8,3.08,2.63,0.27111,2.59,0.265,granite
116,2158908,73.84,0.07,14.2,1.31,0.33,0.53,0.111026,2.65,0.252,granite
117,2158909,66.49,0.05,19.2,1.1,0.4,0.9,0.050349,0.118,0.372,granite
118,2158910,60.4,0.58,18,5.06,3.13,2.7,0.144592,0.775,0.33,granite
119,2158911,56.23,1.07,15.7,9.05,5.71,4.96,0.255618,1.46,0.283,diorite
120,2158912,57.93,1,16.4,7.75,4.89,4.33,0.196232,1.62,0.297,diorite
121,2158913,57.51,1.01,16.2,7.59,4.4,5.71,0.197523,2.39,0.281,diorite
122,2158914,55.81,1.04,16.2,7.98,4.98,5.64,0.23238,2.91,0.299,diorite
123,2158915,53.65,1.25,15.2,9.06,6.46,6.05,0.299512,3.24,0.256,diorite
124,2158916,55.96,1.02,16.5,8.14,4.83,3.86,0.577077,2.12,0.346,diorite
125,2158917,56.17,1.06,16.8,7.13,4.98,4.15,0.411829,2.48,0.338,diorite
127,2138052,56.49,1.05,16.3,7.67,7.18,2.18,0.254327,1.47,0.369,diorite
128,2158918,57.27,1.07,17.6,6.87,4.37,4.82,0.14201,2.12,0.354,diorite
129,2158919,60.88,0.85,16.3,5.98,3.6,4.43,0.166539,2.35,0.266,diorite
130,2158920,59.56,0.91,16.8,6.31,3.58,4.48,0.1291,2.37,0.324,diorite
132,2138053,51.23,1.72,16,11.4,6.96,4.15,0.290475,0.988,0.266,diorite
133,2158921,51.3,0.8,17.1,7.7,9.65,2.26,0.289184,1.44,0.318,diorite
134,2158922,57.45,0.92,16.8,7.12,6.08,3.07,0.188486,0.761,0.404,diorite
135,2158923,61.22,0.83,15.1,7.03,6.07,2.6,0.15492,1.05,0.284,diorite
136,2158924,58.38,0.92,15.8,6.64,4.6,5.15,0.140719,1.92,0.304,diorite
137,2158925,57.14,1,16.9,7.24,4.87,5.35,0.172994,1.47,0.335,diorite
138,2158926,49.22,0.52,17.1,8.73,12.7,1.4,0.176867,1.32,0.166,diorite
139,2158927,38.07,0.69,18.5,10.9,19.1,1.23,0.243999,1.3,0.315,diorite
141,2138054,68.38,0.48,12.2,4.8,3.93,1.55,0.100698,2.56,0.175,diorite
142,2158928,62.21,1.15,13,8.27,3.68,4.41,0.20656,3.29,0.178,diorite
143,2158929,81.31,0.38,7.61,2.56,1.12,1.12,0.059386,3.05,0.095,diorite
144,2158930,72.03,0.53,12.1,4,1.89,2.26,0.074878,2.25,0.141,diorite
