,sample_id,rock_name,qap_name,major_id,method_id,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,na2o,p2o5,rock_type
6,51,bt granite,monzogranite,583272,5254,74.05,0.25,13.77,0.29,0.29,1.37,0.05,4.0,3.46,0.06,granite
7,52,coarse-grained bt granite,monzogranite,521229,5254,69.28,0.31,14.91,0.53,0.88,2.23,0.08,4.43,3.15,0.1,granite
153,381,granite,monzogranite,537177,5379,70.57,0.39,14.78,0.4,0.77,2.6,0.09,3.57,3.18,0.11,granite
154,382,granite,monzogranite,565484,5379,72.72,0.11,14.67,0.56,0.21,1.2,0.07,4.63,3.76,0.06,granite
155,383,granite,monzogranite,588241,5379,74.44,0.1,14.07,0.4,0.24,1.24,0.05,4.28,3.6,0.06,granite
156,384,granite,monzogranite,586099,5379,74.29,0.07,14.04,0.24,0.11,1.11,0.05,4.77,3.66,0.05,granite
157,385,granite,monzogranite,596920,5379,75.18,0.07,13.68,0.16,0.08,0.95,0.04,4.85,3.5,0.02,granite
158,386,granite,monzogranite,601099,5379,75.54,0.12,13.32,0.32,0.14,0.87,0.04,4.31,3.43,0.05,granite
159,387,granite,monzogranite,610713,5379,76.52,0.05,12.79,1.27,0.03,0.66,0.03,4.88,3.54,-0.01,granite
160,388,granite,monzogranite,613455,5379,76.88,0.03,12.79,1.28,0.03,0.64,0.03,4.11,4.15,-0.01,granite
161,389,granite,monzogranite,612453,5379,76.74,0.04,13.02,1.07,0.05,0.67,0.03,4.84,3.6,-0.01,granite
162,390,granite,monzogranite,617067,5379,77.38,0.05,12.67,0.98,0.04,0.61,0.02,4.54,3.76,-0.01,granite
163,391,granite,monzogranite,612451,5379,76.74,0.03,12.65,0.9,0.04,0.6,0.02,5.07,3.34,-0.01,granite
164,392,granite,monzogranite,615655,5379,77.15,0.04,12.4,1.01,0.06,0.72,0.03,4.72,3.36,-0.01,granite
165,393,granite,monzogranite,611679,5379,76.64,0.11,12.49,1.46,0.09,1.15,0.03,4.25,3.31,0.01,granite
166,394,granite,monzogranite,606011,5379,76.02,0.05,12.61,1.05,0.0,0.69,0.03,4.78,3.63,-0.01,granite
167,395,granite,monzogranite,607512,5379,76.2,0.05,12.69,1.13,0.01,0.7,0.03,4.85,3.58,-0.01,granite
168,398,granitoid,monzogranite,530713,5379,70.03,0.29,14.83,0.4,0.7,2.29,0.07,5.1,3.05,0.09,granite
169,399,granitoid,monzogranite,556982,5379,72.1,0.24,14.36,0.48,0.47,2.2,0.04,3.82,3.46,0.07,granite
170,400,granitoid,monzogranite,569785,5379,73.04,0.15,15.28,0.32,0.26,1.93,0.06,4.02,3.01,0.04,granite
171,401,granitoid,monzogranite,564493,5379,72.67,0.14,14.94,0.4,0.19,1.82,0.04,4.35,3.05,0.03,granite
172,402,granitoid,monzogranite,575004,5379,73.42,0.26,13.66,0.6,0.51,1.53,0.07,4.22,3.14,0.09,granite
173,403,granitoid,monzogranite,607328,5379,76.17,0.1,13.06,0.16,0.06,1.09,0.02,4.49,3.29,0.02,granite
